,0,1,2,3,4,5
pace,72.81592356687898,73.5691056910569,75.75452079566004,57.952534191472246,56.53243416827232,79.27926876701673
shooting,72.77834394904458,47.8000956480153,67.04701627486438,61.98551890587289,37.84457289659602,68.6588875923765
passing,59.4,62.557627929220466,73.0623869801085,69.94851166532582,51.12267180475273,69.33061065733177
dribbling,70.12866242038217,66.29124820659972,75.70117540687161,68.67658889782784,51.83686576750161,76.39945546479969
defending,32.8484076433121,71.49163079866092,65.98869801084992,67.69991954947707,73.6480411046885,38.06456631660832
physic,73.00254777070063,73.60832137733142,72.74186256781194,73.40144810941271,76.0417469492614,59.39245429793854
